	CodigoMatricula	AreaPrograma	Cargo	NombrePais	VersionPrograma	Modalidad
4142	10231941A25172	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4143	6607A25172	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4144	10725684A25172	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4145	9617678A25172	Proyectos	Jefe	Perú	Sin Version	Online Asincronica
4146	9325080A25172	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4147	9593347A25172	Proyectos	Analista	Perú	Sin Version	Online Asincronica
4148	9066536A19307	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4149	10323618A22231	Proyectos	Jefe	Perú	Sin Version	Online Asincronica
4150	33038A22231	Proyectos	Otros	Perú	Sin Version	Online Asincronica
4151	10342795A22231	Proyectos	Instrumentista	Perú	Sin Version	Online Asincronica
4152	10378230A22231	Proyectos		Perú	Sin Version	Online Asincronica
4153	10322906A22231	Proyectos	Gerente General/ Apoderado	Perú	Sin Version	Online Asincronica
4154	10330564A22231	Proyectos		Perú	Sin Version	Online Asincronica
4155	9892287A22231	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4156	9046980A22231	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4157	9701518A22231	Proyectos	Gerente de Área/Unidad	Perú	Sin Version	Online Asincronica
4158	10199359A22231	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4159	9691289A22231	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4160	9830155A22231	Proyectos	Otros	Perú	Sin Version	Online Asincronica
4161	10087114A22231	Proyectos	Otros	Perú	Sin Version	Online Asincronica
4162	9920021A22231	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4163	10431033A22231	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4164	9427403A22231	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4165	81175A22231	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4166	9465575A22231	Proyectos	Gerente de Área/Unidad	Perú	Sin Version	Online Asincronica
4167	10475207A22231	Proyectos		Perú	Sin Version	Online Asincronica
4168	10166982A22231	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
